comparison,p_value,active_features,active_group
AHR_vs_TAB1,0.551312923041695,"",""
PRDM1_vs_TAB1,0.73240623398105,BCLAF1/DHFR/HNRNPA0/TYMS,33
TNFAIP3_vs_TAB1,0.00361016472513141,FXR1/HMGB3/LGALS9/OTULIN/PTGER4/PTPN1/PUM1/RAC2/SMARCA5/SNRPN/STMP1/ZMPSTE24,1/6
JUNB_vs_TAB1,0.00264011702907521,ARHGAP10/DENND3/EIF5/GDI2/GMFG/GRB2/NUCB1/PSD3/RASGEF1B,18
TIRAP_vs_TAB1,0.364969972000087,"",""
TRIB1_vs_TAB1,0.00944990180936184,CD47/EMC10/ENG/FXR1/HMGB3/MAP3K8/OTULIN/PRDX1/PRDX4/PTGER4/PTPN1/RAC2/SELENOF/SMARCA5/STIP1/STMP1/ZMPSTE24,6/14
PICALM_vs_TAB1,0.31726555004299,PTP4A1/SPN,""
EHMT2_vs_TAB1,0.914004442971962,FXR1/PTGER4/PTPN1/PUM1/RAC2/SMARCA5/STMP1,6
STAT1_vs_TAB1,0.189199203338044,APOL6/DDX58/DTX3L/IFI44/IFIH1/OAS1/OAS2/PARP9/PNPT1/PRMT2/RBCK1/SAMD9/SAMD9L/SAMHD1/SNW1/SP100/SP110/TRIM56/UBE2L6/USP18,22/31
RELA_vs_TAB1,0.537609300445703,ICOSLG,12
TLR1_vs_TAB1,0.365187764406593,"",""
CEBPG_vs_TAB1,0.751944603881419,"",""
IRAK1_vs_TAB1,0.342314541535934,"",""
MAP2K2_vs_TAB1,0.196091673108372,"",""
DNTTIP1_vs_TAB1,0.3170817643978,HNRNPA0/PCLAF/TYMS,33
